Dane C.,5.0 star rating,12/22/21," Transformative, honestly. Was skeptical at first, but I'm absolutely sold. "," As an athlete who is two months into an AG1 subscription, I thought AG1 would just be a simple and tasty way to get the right balance of nutrients and vitamins my body needs, but it's provided so much more than that. I'm feeling more energized, recovered, and ""regular"" than ever. Extremely happy with AG1 and will continue to subscribe and drink for the foreseeable future. "
Julie M.,5.0 star rating,12/22/21, My thoughts ," I love Athletic Greens, especially after 90 minutes of Hot Bikram Yoga. There is nothing more satisfying than knowing that I am replenishing and nourishing my body after doing an intense sport. "
Nolan I.,5.0 star rating,12/22/21, Rectified issue in timely manner , Good job on that 
Edward S.,5.0 star rating,12/22/21, Athletic greens , Love you’re guys stuff. Service is fantastic shows up every month like clockwork 
Rosario M.,5.0 star rating,12/22/21, Great ," I feel better, sleep better, focus better, overall I get great human performance out of it… it’s changing my life for the better. Thank you, "
karen t.,5.0 star rating,12/22/21, Best tasting greens ," Greens that actually taste good! Great quality, great ingredients. "
Tracy H.,5.0 star rating,12/22/21, Love it! , I have tried other brands but I love athletic greens. It gives me energy and I am regular for the first time ever! 
Tyler C.,3.0 star rating,12/22/21, Good ," I do like ag1 however the amount of single use plastic is insane!! The price point is very high as well, hope to one day see that drop a little. But happy overall! "
OLIVER S.,2.0 star rating,12/22/21, Nice Product But Too Expensive , Cost Value relationship not good. $100 per month - ouch. Plus make the opening of the shaker bottle a little wider so you can easily pour the scoop in without spilling.  
Zorawar B.,5.0 star rating,12/22/21, Amazing product , Amazing product 
Cameron B.,5.0 star rating,12/22/21, It's the best , It's the best 
John S.,5.0 star rating,12/22/21, Love changing , Would not start my day without it. 
Nancy E.,5.0 star rating,12/22/21, Love love love , Love love love 
Heather H.,5.0 star rating,12/22/21, The best supplement I've tried! , This is my new morning ritual. 
Larry V.,5.0 star rating,12/22/21, Athletic Greens , I love the test and use it mostly everyday. 
Nick F.,2.0 star rating,12/22/21, Dude the stevia is the , Dude the stevia is the worst. Eep 
Janay C.,4.0 star rating,12/22/21, Love the product. Dislike the taste. , I have used this for a couple of months. I like the idea of all of the nutrients being absorbed into my system.  
Chris S.,2.0 star rating,12/22/21, Great but , I enjoyed using AG but it is just way too expensive! Almost $1200 for one year 
Kim K.,4.0 star rating,12/22/21, I am starting my second , I am starting my second month. I am loving the taste but I am able to get it down first thing in the morning. So far things are going okay! 
Micallef A.,5.0 star rating,12/22/21, Very happy with the product! , Very happy with the product! 
Jason M.,5.0 star rating,12/22/21, Great product. I been getting , Great product. I been getting alot of energy every morning ever since I've been taking this. I use to be tired when I first wake up for work but when I satted taking this I notice a big difference in my day. I don't get tired during the day l I use too and I feel energetic and fully awake. I'm definitely going get more and try more products from this company. I highly recommend this to everyone. You won't regret it. 
Brenda B.,5.0 star rating,12/22/21, Five stars for AGI😁 , Five stars for AGI😁 
Roth N.,3.0 star rating,12/22/21," Probably good, tastes bad, expensive "," Pros: Based on the ingredients listed, Athletic Greens is nutritious. The all-in-one formulation makes it easy for busy people.  "
Erica 4.,5.0 star rating,12/22/21, Morning start , I really like starting my day with AG I feel like my skin and hair are healthier and I’m doing a good thing each day with so many vitamins and minerals. 
Brandi F.,5.0 star rating,12/22/21, No better multivitamin out there ," As a follower and fan of the Huberman Lab, I tried athletic greens due to their high recommendation. I don't have a very big appetite and I'm concerned about getting enough nutrients on the daily. I was always trying to find the most well rounded multivitamin with quality ingredients. But as a relatively healthy person, I never really noticed a big difference with anything. However, I can honestly say with athletic greens, I do feel even better overall. Bonus that it tastes pleasant also. I absolutely recommend it. "
Wendy J.,5.0 star rating,12/22/21, Great product , I’ve been using it daily for a month now. I feel more energized. 
chris t.,5.0 star rating,12/22/21, I like it ," Tastes good, increased energy, what's not to like? "
david g.,3.0 star rating,12/22/21, Seems good but not perfect , The taste is questionable. It’s way better with coconut water as opposed to plain water. I’m not a fan of the stevia either. It’s the flavor that gets me. 
Nathan D.,5.0 star rating,12/22/21, Great product I won’t start , Great product I won’t start my morning without it 
Emiran S.,1.0 star rating,12/22/21, I cannot stand the taste , I was very excited to try this product but I cannot get over the taste of it. There has to be a better way to have it other than just mixing it with water. It tastes like someone just crushed up a storebought multivitamin. 
Omar K.,5.0 star rating,12/22/21, I love athletic greens , Title says it all. 
Tom L.,5.0 star rating,12/21/21, Better then excellent , Very easy to add to the daily nutritional routine. 
Matt G.,4.0 star rating,12/21/21, awesome ," really enjoy them and they seem to give me a good amount of energy in the morning, although they are a bit expensive because of the shipping and CAD to US conversion "
Alison A.,4.0 star rating,12/21/21, more energy + feeling good! ," love this and knowing i'm getting all my vitamins in one fell swoop. the only detractor is that even if you're on a subscription, they charge a shipping fee every month AND it takes over a week to get to you -- so if you're on even a 30 day supply, you will still run out by the time the new one comes. if you're going to charge almost $10 for shipping, it should get to you within 2-3 days max. "
Laura H.,5.0 star rating,12/21/21, I first learned about AG ," I first learned about AG from a Friend who was following the Tim Ferris book , 4-hour Body. Tim did, and still does, highly recommend AG as a superior nutrient-dense supplement. I decided to give it a try, especially for the added probiotics and mushroom complex. Taken first thing upon waking, it’s a great way to start the day "
Claire R.,5.0 star rating,12/21/21, Gets Rid of The Brain Fog , This product is better than coffee. 100% recommend 
